titulo,resumen,autor,fecha,url,sentiment_score,sentiment
Aeropuertos de Perú destinarán US$780 millones hasta 2030 para mejora de pistas,"Las terminales aéreas de Perú es una concesión cofinanciada que, a pesar de ser una empresa privada, tiene sus proyectos como inversión pública",,2025-07-03,https://www.larepublica.co/globoeconomia/aeropuertos-de-peru-destinaran-us-780-millones-hasta-2030-para-mejora-de-pistas-4171518,0.0,neutral
Presidente Trump hablará con su homólogo Putin mientras busca una tregua en Ucrania,Las llamadas se producen tras la decisión del gobierno de pausar la transferencia de munición de artillería y defensas aéreas a Ucrania,,2025-07-03,https://www.larepublica.co/globoeconomia/presidente-trump-hablara-con-su-homologo-putin-mientras-busca-una-tregua-en-ucrania-4171511,0.0,neutral
Compañías fintech representan 10% de consumidores nuevos al crédito en Colombia,TranUnion realizó un estudio y dijo que los usuarios de estas compañías financieras suelen ser más jóvenes y con un mayor riesgo,,2025-07-03,https://www.larepublica.co/finanzas/consumidores-de-las-fintech-en-colombia-4171506,0.0,neutral
Mineral de hierro sube mientras China está frenando el exceso de capacidad industrial,Pekín quiere frenar la competencia de precios y el exceso de capacidad industrial indica que sus dirigentes buscan enfrentar las presiones deflacionistas,,2025-07-03,https://www.larepublica.co/globoeconomia/mineral-de-hierro-sube-mientras-china-esta-frenando-el-exceso-de-capacidad-industrial-4171502,0.0,neutral
Andi dijo que Unidad de Pago por Capitación debió crecer entre 10% y 16% en 2025,"Para el gremio, esta situación está llevando a una crisis en entidades del sector, que se han visto obligadas a cerrar servicios o a limitar la atención",,2025-07-03,https://www.larepublica.co/economia/andi-dijo-que-unidad-de-pago-por-capitacion-debio-crecer-entre-10-y-16-en-2025-4171496,-0.6249,negative
Perú decidió cerrar temporalmente sus fronteras a la pitahaya proveniente de Ecuadorr,"El territorio compra pitahaya ecuatoriana desde el 2022 y, para el 2023, se convirtió en el cuarto mercado internacional, después de Estados Unidos",,2025-07-03,https://www.larepublica.co/globoeconomia/peru-decidio-cerrar-temporalmente-sus-fronteras-a-la-pitahaya-proveniente-de-ecuador-4171488,0.0,neutral
Déficit fiscal acumulado hasta abril de 2025 fue el más alto desde la pandemia de covid-19,Aumento en el gasto público y leve caída de los ingresos fiscales frente a 2024 son las razones que explican el aumento en la brecha del erario,,2025-07-03,https://www.larepublica.co/economia/deficit-fiscal-acumulado-hasta-abril-de-2025-fue-el-mas-alto-desde-la-pandemia-4171449,0.0,neutral
Crecimiento del empleo en EE.UU. se acelera por la contratación en educación pública,"Las nóminas aumentaron en 147.000 el mes pasado, impulsadas por un aumento en el empleo en los gobiernos estatales y locales",,2025-07-03,https://www.larepublica.co/globoeconomia/crecimiento-del-empleo-en-ee-uu-se-acelera-por-la-contratacion-en-educacion-publica-4171430,0.0,neutral
Gobierno confía en que el nuevo sistema pensional entre en vigencia en dos meses,"El presidente de Colpensiones, Jaime Dussán, desmintió que no existieran recursos para cubrir el Pilar Solidario y dijo que eso le corresponde al Departamento de Prosperidad Social",,2025-07-03,https://www.larepublica.co/finanzas/reforma-pensional-2025-gobierno-confia-en-que-el-nuevo-sistema-pensional-entre-en-vigencia-en-dos-meses-4171373,-0.296,negative
Cervecera Heineken va a invertir US$10 millones en dos años en su fábrica de Valencia,,,2025-07-03,https://www.larepublica.co/globoeconomia/cervecera-heineken-va-a-invertir-us-10-millones-en-dos-anos-en-su-fabrica-de-valencia-4171423,0.0,neutral
¿Cómo los negocios pueden registrar una llave con el nuevo sistema de pagos Bre-B?,"Bancolombia explicó que, desde el 14 de julio de 2025, las personas o empresas podrán registrar o confirmar oficialmente sus llaves",,2025-07-03,https://www.larepublica.co/finanzas/como-los-negocios-pueden-abrir-una-llave-con-bre-b-4171414,0.0,neutral
"Por tercer mes, las ventas de vehículos ligeros en México disminuyó 5,9% durante junio","La comercialización “débil” de autos se ve reflejada por la caída de 12% de General Motors, que es la segunda marca con mayor venta en México",,2025-07-03,https://www.larepublica.co/globoeconomia/por-tercer-mes-las-ventas-de-vehiculos-ligeros-en-mexico-disminuyo-5-9-durante-junio-4171372,0.0,neutral
El dólar profundiza su caída y se negocia en promedio por debajo de $3.985,"El precio promedio de la tasa de cambio es el más bajo desde el pasado 11 de julio de 2024 cuando se marcó $3.979,91",,2025-07-03,https://www.larepublica.co/finanzas/precio-del-dolar-y-del-petroleo-hoy-3-de-julio-de-2025-4171296,0.0,neutral
"Ola de calor golpea a Europa con incendios, cierres escolares y evacuaciones masivas","En Francia, 84 de los 101 departamentos del país permanecieron bajo alerta naranja, el segundo nivel más alto de riesgo por calor",,2025-07-03,https://www.larepublica.co/globoeconomia/ola-de-calor-golpea-a-europa-con-incendios-cierres-escolares-y-evacuaciones-masivas-4171360,0.0,neutral
Distribuidores de combustibles líquidos necesitarán certificado para operar en departamentos,Este documento deberá ser expedido por el Ministerio de Justicia y enviado a la Dirección de Hidrocarburos del Ministerio de Minas y Energía,,2025-07-03,https://www.larepublica.co/economia/distribuidores-de-combustibles-liquidos-necesitaran-certificado-para-operar-4171357,0.0,neutral
"El gerente de Corabastos, Francisco Javier Salcedo, renunció por presión de la junta","Salcedo afirmó que parte de la decisión tomada por algunos miembros de la junta, fue por falta de confianza en algunos accionistas",,2025-07-03,https://www.larepublica.co/empresas/el-gerente-de-corabastos-francisco-javier-salcedo-renuncio-por-presion-de-la-junta-4171297,0.0,neutral
"EPM finaliza la gestión de servicios de acueducto, alcantarillado y aseo en Quibdó","Empresas Públicas de Quibdó será la compañía que asuma completamente la operación de los tres servicios, tras un empalme con la compañía antioqueña",,2025-07-03,https://www.larepublica.co/empresas/epm-finaliza-la-gestion-de-servicios-de-acueducto-alcantarillado-y-aseo-en-quibdo-4171298,0.0,neutral
Vaca Muerta despega impulsada por un experimento de libre mercado de Javier Milei,"Es un proyecto existencial para todos los involucrados, si Milei logra generar nueva riqueza petrolera, podría sacar al país del estancamiento económico",,2025-07-03,https://www.larepublica.co/globoeconomia/vaca-muerta-despega-impulsada-por-un-experimento-de-libre-mercado-de-javier-milei-4171292,0.0,neutral
"Desde 2002, un canciller tiene una media de duración de 27 meses en su cargo",Laura Sarabia renunció al ministerio de Relaciones Exteriores luego de estar cinco meses al frente de la cartera,,2025-07-03,https://www.larepublica.co/economia/desde-2002-un-canciller-tiene-una-media-de-duracion-de-27-meses-en-su-cargo-4171291,0.0,neutral
BlackRock está considerando vender su participación en gasoductos de Saudi Aramco,"La firma estadounidense evaluará otras opciones para el activo si las conversaciones no llegan a un acuerdo, según algunas de las fuentes",,2025-07-03,https://www.larepublica.co/globoeconomia/blackrock-esta-considerando-vender-su-participacion-en-gasoductos-de-saudi-aramco-4171282,-0.296,negative
Eliminación de subsidios al diésel llega a equivaler una tributaria para el Gobierno,"Para la Asociación Colombiana de Petróleo, el subsidio alcanza $8 billones; mientras que el Gobierno señaló que este supera $10 billones",,2025-07-03,https://www.larepublica.co/economia/la-eliminacion-de-los-subsidios-al-diesel-equivale-a-una-reforma-tributaria-4171277,0.0,neutral
"Petro discrepa de la postura política y climática de Macron, el francés le pidió respeto","Gustavo Petro criticó la ""superioridad"" de Esatdos Unidos y Europa, ante esto, el mandatario francés pidió que se trabajara más y se dieran menos lecciones",,2025-07-03,https://www.larepublica.co/economia/petro-discrepa-de-la-postura-politica-y-climatica-de-macron-el-frances-le-pidio-respeto-4171262,0.0,neutral
El oro cede sobre US$3.340 a la espera de los nuevos datos de empleo en Estados Unidos,"Se espera que el informe de nóminas no agrícolas, previsto para el jueves, muestre un aumento de 110.000 puestos de trabajo en junio",,2025-07-03,https://www.larepublica.co/finanzas/precio-del-oro-hoy-3-de-julio-de-2025-4171274,-0.296,negative
Un asesor de subastas de Citgo Petroleum recomienda una oferta de reserva de oro,,,2025-07-03,https://www.larepublica.co/globoeconomia/un-asesor-de-subastas-de-citgo-petroleum-recomienda-una-oferta-de-reserva-de-oro-4171270,0.0,neutral
Superintendencia de Sociedades confirmó proceso de liquidación para Marchen S.A.,"La Supersociedades tomó la decisión de apertura del proceso liquidatorio con el fin de ""proteger el patrimonio empresarial y salvaguardar el orden crediticio""",,2025-07-03,https://www.larepublica.co/empresas/superintendencia-de-sociedades-confirmo-proceso-de-liquidacion-para-marchen-s-a-4171243,0.0,neutral
"Un terremoto de magnitud preliminar de 5,5 sacudió partes del suroeste de Japón","El epicentro del seísmo se situaba frente a la costa de la cadena de islas de Tokara, en la prefectura de Kagoshima, a casi 1.200 kilómetros de Tokio",,2025-07-03,https://www.larepublica.co/globoeconomia/un-terremoto-de-magnitud-preliminar-de-5-5-sacudio-partes-del-suroeste-de-japon-4171258,0.0,neutral
Everfit solicitó la admisión al proceso de liquidación judicial ante la Supersociedades,"En la solicitud presentada, la compañía reportó un activo total por $37.777 millones y pasivos por $31.416 millones con corte al 31 de mayo",,2025-07-03,https://www.larepublica.co/empresas/everfit-solicito-la-admision-al-proceso-de-liquidacion-judicial-ante-la-supersociedades-4171242,0.0,neutral
"Francia multa a Shein con US$47,17 millones por unas prácticas comerciales engañosas","La agencia dijo que Infinite Style E-Commerce, que gestiona las ventas de la marca Shein, había engañado a los clientes sobre los descuentos",,2025-07-03,https://www.larepublica.co/globoeconomia/francia-multa-a-shein-con-us-47-17-millones-por-unas-practicas-comerciales-enganosas-4171249,0.0,neutral
Diogo Jota,"Diogo Jota, futbolista portugués del Liverpool y su hermano, fallecieron este jueves en un accidente de tránsito en España",,2025-07-03,https://www.larepublica.co/obituarios/fallecio-diogo-jota-futbolista-portugues-del-liverpool-4171245,0.0,neutral
Cámara se acerca a la aprobación del proyecto de ley de Trump tras noche de debate,"""Tenemos los votos"", declaró el presidente de la Cámara de Representantes, Mike Johnson, a la prensa poco después de las 3 de la madrugada del jueves",,2025-07-03,https://www.larepublica.co/globoeconomia/camara-se-acerca-a-la-aprobacion-del-proyecto-de-ley-de-trump-tras-noche-de-debate-4171238,0.0,neutral
“La planta de tratamiento Canoas se adjudicará en el primer semestre de 2026”,"Natasha Avendaño, gerente de Acueducto y Alcantarillado de Bogotá, habló del futuro del proyecto y el balance postracionamiento",,2025-07-03,https://www.larepublica.co/economia/entrevista-con-natasha-avendano-gerente-de-la-eaab-sobre-el-avance-del-proyecto-de-tratamiento-de-aguas-residuales-4171066,0.0,neutral
La universidad debe ser el laboratorio de paz que el país necesita,"La universidad no puede ser el reflejo del país, todo lo contrario, en momentos de crisis debe iluminar el camino de la sociedad",,2025-07-03,https://www.larepublica.co/analisis/jose-ismael-pena-reyes-3960471/la-universidad-debe-ser-el-laboratorio-de-paz-que-el-pais-necesita-4170822,-0.743,negative
Doña Nydia y la solidaridad,"Doña Nydia vivió en carne propia los rigores de la violencia en Colombia; su hija fue vilmente asesinada y hoy su nieto Miguel libra una lucha por la vida, que los colombianos sentimos como propia",,2025-07-03,https://www.larepublica.co/analisis/alfredo-sarmiento-narvaez-3420523/dona-nydia-y-la-solidaridad-4170839,0.0,neutral
Cambios en las Juntas Directivas en las 1.000 empresas más grandes de 2024,Llegadas a nuevos cargos y coyunturas políticas marcaron rumbo de alta gerencia de las 10 empresas que más facturaron en 2024,,2025-07-03,https://www.larepublica.co/especiales/las-mil-empresas-mas-grandes-de-2024/los-cambios-dentro-de-las-juntas-directivas-de-las-1-000-empresas-mas-grandes-de-2024-4170610,0.0,neutral
